
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College
22,Morris Almond,SG,6-6,225,February 2 1985,R,Rice University
5,Carlos Boozer,PF,6-9,258,November 20 1981,5,Duke University
9,Ronnie Brewer,SG,6-7,220,March 20 1985,1,University of Arkansas
31,Jarron Collins,C,6-11,255,December 2 1978,6,Stanford University
44,Kyrylo Fesenko,C,7-1,288,December 24 1986,R,
10,Gordan Giricek,SG,6-6,210,June 20 1977,5,
15,Matt Harpring,SF,6-7,231,May 31 1976,9,Georgia Institute of Technology
3,Jason Hart,PG,6-3,185,April 29 1978,6,Syracuse University
47,Andrei Kirilenko,SF,6-9,220,February 18 1981,6,
26,Kyle Korver,SG,6-7,212,March 17 1981,4,Creighton University
34,C.J. Miles,SG,6-6,231,April 18 1987,2,
24,Paul Millsap,PF,6-8,246,February 10 1985,1,Louisiana Tech University
13,Mehmet Okur,C,6-11,249,May 26 1979,5,
17,Ronnie Price,PG,6-2,190,June 21 1983,2,Utah Valley State College
8,Deron Williams,PG,6-3,200,June 26 1984,2,University of Illinois at Urbana-Champaign
